ID,inspeccion_ID,parametro_ID,valorObtenido,cumpleVisual,observacion
00000000-0000-0000-0000-000000000701,00000000-0000-0000-0000-000000000601,00000000-0000-0000-0000-000000000301,3.300,true,Dentro de rango
00000000-0000-0000-0000-000000000702,00000000-0000-0000-0000-000000000601,00000000-0000-0000-0000-000000000302,0.900,true,Dentro de rango
00000000-0000-0000-0000-000000000703,00000000-0000-0000-0000-000000000601,00000000-0000-0000-0000-000000000303,99.500,true,Dentro de rango
00000000-0000-0000-0000-000000000704,00000000-0000-0000-0000-000000000601,00000000-0000-0000-0000-000000000304,4.200,true,Dentro de rango
00000000-0000-0000-0000-000000000705,00000000-0000-0000-0000-000000000602,00000000-0000-0000-0000-000000000301,3.350,true,Dentro de rango
00000000-0000-0000-0000-000000000706,00000000-0000-0000-0000-000000000602,00000000-0000-0000-0000-000000000302,0.650,false,Por debajo del mínimo
00000000-0000-0000-0000-000000000707,00000000-0000-0000-0000-000000000602,00000000-0000-0000-0000-000000000303,101.000,true,Dentro de rango
00000000-0000-0000-0000-000000000708,00000000-0000-0000-0000-000000000603,00000000-0000-0000-0000-000000000301,3.180,false,Por debajo del mínimo aceptado
00000000-0000-0000-0000-000000000709,00000000-0000-0000-0000-000000000603,00000000-0000-0000-0000-000000000302,0.920,false,Dentro de rango
00000000-0000-0000-0000-000000000710,00000000-0000-0000-0000-000000000604,00000000-0000-0000-0000-000000000306,,true,Sin defectos superficiales
00000000-0000-0000-0000-000000000711,00000000-0000-0000-0000-000000000604,00000000-0000-0000-0000-000000000307,,true,Color correcto
